QA/QC ?,Monitoring Session ,Date Processed,Processed by,Location,Propagule ID,Dead/Alive/Dying,Plumule color,Hypocotyl color,Epicotyl length (cm),Treatment,Mainstem leaf count,Total leaf count,Mainstem leaf node count,Total leaf node count,Condition,Notes,Date entered,Data entered by
Y,1,9/24/2021,"LU, HAS",10B,676,A,G,G,5.8,TP,2,2,1,1,W,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,697,A,G,G,2.8,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,668,A,G,G,11.9,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,680,A,G,G,4,TP,2,2,1,1,H,couple scars on leaves ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,707,A,G,G,3.2,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,692,A,G,YG,5,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,666,A,G,G,2.3,BB,2,2,1,1,H,hypo wrinkly,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,700,A,G,G,6.5,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,672,A,G,YG,5,TP,2,2,1,1,W,hypo wrink,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,696,A,G,G,3.1,CC,2,2,1,1,H,hypo wrinkly,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,678,A,G,G,8.8,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,683,A,G,G,5.9,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,689,A,G,G,3.5,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,682,A,G,G,5.3,CC,2,2,1,1,H,nick on leaf ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,681,A,G,G,2.8,CC,2,2,1,1,H,nick on leaf ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,691,A,G,G,3.4,TP,2,2,1,1,H,nicks on leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,693,A,G,G,4.1,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,675,A,G,G,4.6,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,687,A,G,G,3.7,TP,2,2,1,1,H,deformed leaves ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,686,A,G,G,5.6,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,706,A,G,G,4.2,TP,4,4,2,2,D,sun damage,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,705,A,G,G,3,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,710,A,G,G,5,CC,2,2,1,1,D,brown spots on leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,708,A,G,G,5,BB,2,2,1,1,D,brown spots on leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,716,A,G,G,8.5,TP,2,2,1,1,D,brown spots on leaf ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,712,A,G,G,6.6,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,720,A,G,G,2.8,CC,2,2,1,1,H,nicks on leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,714,A,G,LB,3,TP,2,2,1,1,D,crunchy brown leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,715,A,G,G,4.2,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,709,A,G,LB,6.5,CC,2,2,1,1,D,brown leafs,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,724,A,G,LB,8,BB,2,2,1,1,H,nick in leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,726,A,G,G,6.1,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,727,A,G,YG,5,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,728,A,G,G,5.4,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,713,A,G,G,6.1,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,711,A,G,G,3.5,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,721,A,G,G,2.7,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,719,A,G,G,4.8,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,730,A,G,G,2.7,BB,2,2,1,1,D,browning of leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,729,A,G,G,5,BB,2,2,1,1,H,hypo wrinkly ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,701,A,G,YG,2.1,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,704,A,G,G,3.4,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,703,A,G,G,4.5,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,718,A,G,G,3.8,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,717,A,G,G,5.9,CC,2,2,1,1,W,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,702,A,G,LB,4.8,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,723,A,G,G,7.8,TP,2,2,1,1,W,brown on leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,725,A,G,G,3.7,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,731,A,G,G,2.7,TP,2,2,1,1,D,brown in middle of leaf,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10C,722,A,G,G,3.8,CC,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,587,A,G,LB,5.1,CC,2,2,1,1,D,"yellow epicotyl, sm brwn spoton leaf",2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,581,A,G,G,6.5,CC,4,4,2,2,D,"sm brwn spots, hypo wrinkly ",2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,575,A,G,G,5.3,BB,2,2,1,1,D,1/2 of one leaf is brown and shrivled ,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,561,A,G,G,12.9,BB,1,1,1,1,D,"1/2 of one leaf is brown and shrivled; * = plumule hidden by new leaves probably closer to 10.2, LCP",2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,567,A,G,G,8.3,BB,3,3,2,2,D,1/2 of one leaf is brown and shrivled ,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,562,A,G,G,3.7,CC,2,2,1,1,H,wrinkled hypo,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,583,A,G,G,7.8,BB,2,2,1,1,H,# = plumule hidden by new leaves,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,573,A,G,G,4.3,TP,2,2,1,1,W,wilting & wrinkled hypo,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,569,A,G,G,5.2,TP,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,552,A,G,LB,5.1,TP,2,2,1,1,H,"wrinkled hypo, LCP",2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,568,A,G,YG,8.9,CC,2,2,1,1,D,browning first leaf ,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,556,A,G,G,5.6,BB,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,574,A,G,LB,3.1,BB,2,2,1,1,H,short leaves,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,565,A,G,LB,5.4,CC,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,560,A,G,G,2.4,TP,2,2,1,1,W,"wrinkled hypo, curled leaves",2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,571,A,G,G,4.8,CC,2,2,1,1,W,wrinkled hypo,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,579,A,G,G,3,BB,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,576,A,G,G,6.4,CC,2,2,1,1,W,wrinkled hypo & wilting ,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,577,A,B,G,4.4,TP,2,2,1,1,W,wrinkled hypo & wilting ,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,559,A,B,G,7.3,CC,2,2,1,1,W,wrinkled hypo & wilting ,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,572,A,G,G,2.6,TP,2,2,1,1,H,wrinkled  ,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,589,A,G,YG,4.2,CC,2,2,1,1,H,wrinkled,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,564,A,G,G,6.8,BB,2,2,1,1,W,wrinkled & wilty,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,554,A,G,G,10.1,BB,2,2,1,1,H,"Plumule covered by new leaves , LCP",2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,553,A,G,YG,6.2,TP,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,558,A,G,YG,4.5,TP,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,563,A,G,G,7.9,TP,2,2,1,1,W,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,555,A,G,G,4.3,CC,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,585,A,G,LB,4.6,TP,2,2,1,1,D,brown spot wrinkled hypo,2/11/2022,KH
Y,1.5,9/27/2021,"LU, HAS",11A,570,A,G,G,4.7,BB,2,2,1,1,H,,2/11/2022,KH
Y,1.5,9/27/2021,HAS,11B,607,A,G,LB,4.7,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,596,A,G,G,5.3,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,584,A,G,G,4.4,TP,2,2,1,1,W,wilted/wrinkled,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,592,A,G,G,5.5,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,597,A,G,G,4.9,CC,2,2,1,1,H,wrinkled,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,557,A,G,G,2.6,CC,2,2,1,1,H,wrinkled,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,595,A,G,G,6.5,TP,2,2,1,1,H,wrinkled,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,600,A,B,G,6.3,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,604,A,G,G,6.1,BB,2,2,1,1,W/D,both leaves brown and shrivled,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,588,A,B,G,5.9,TP,2,2,1,1,H,epi. brown,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,598,A,G,LB,6.2,TP,2,2,1,1,W,epi. brown,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,619,A,G,G,9.2,BB,2,2,1,1,H,"plumule covered by new leaves, LCP",4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,590,A,G,YG,3.7,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,601,A,G,G,3.2,TP,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,594,A,G,LB,2.3,BB,2,2,1,1,W,wilted/wrinkled,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,582,A,G,G,7.4,CC,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,621,A,G,G,7.1,CC,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,609,A,G,G,5.2,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,615,A,G,G,4.8,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,591,A,G,G,5.4,TP,2,2,1,1,W,"1 leaf open, 1 leaf curled",4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,586,A,G,G,7.2,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,578,A,G,G,2.9,TP,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,605,A,G,G,3.9,TP,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,603,A,G,YG,4.5,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,580,A,G,G,10,BB,1,1,1,1,D,"Plumule covered by new leaves; 1/2 leaf brown, LCP",4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,613,A,G,G,3.4,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,611,A,G,G,4.6,TP,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,593,A,G,G,4.6,CC,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,599,A,G,YG,4.6,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11B,566,A,G,G,6.8,TP,0,0,1,1,W,epi. yellow brown,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,655,A,G,G,3.8,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,647,A,G,LB,4.1,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,639,A,G,LB,2.6,BB,0,0,1,1,D,all leaves with brown spots,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,645,A,G,G,8.3,TP,2,2,1,1,D,leaves 1/2 brown,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,651,A,G,G,6.8,TP,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,641,A,G,G,2.8,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,620,A,G,G,6.6,CC,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,653,A,G,G,4.1,CC,2,2,1,1,D,leaves shriveled but YG,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,649,A,G,G,4.5,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,626,A,B,LB,10,BB,2,2,1,1,W,epi. yellow w/ brown spots,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,628,A,B,G,6.3,TP,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,622,A,G,G,4.9,TP,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,612,A,G,G,5.8,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,629,A,G,G,6.4,CC,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,616,A,G,LB,5.3,BB,2,2,1,1,H,epi. brwn,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,624,A,G,YG,3.9,CC,2,2,1,1,D,1 leaf entirely brown,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,606,A,G,G,7.4,CC,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,610,A,G,YG,6.9,BB,2,2,1,1,D,brwn scar on leaf,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,635,A,G,G,5.5,TP,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,625,A,G,YG,9,TP,2,2,2,2,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,637,A,G,G,7.5,BB,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,617,A,G,YG,3.5,TP,2,2,1,1,D,wrinkled hypo.,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,618,A,Y,G,6.5,BB,2,2,1,1,W,wilted and wrinkled,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,627,A,G,DB,8.5,TP,0,0,1,1,D,fallen leaf has brwn on it,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,633,A,G,G,3.3,BB,2,2,1,1,H,sm brwn spot,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,602,A,B,YG,5,CC,2,2,1,1,W,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,623,A,G,G,5.1,TP,2,2,1,1,H,,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,614,A,G,G,3.4,BB,2,2,1,1,H,wrinkled,4/12/2022,KH
Y,1.5,9/27/2021,HAS,11C,631,A,G,LB,6.2,BB,2,2,1,1,W,,4/12/2022,KH
,1.5,9/27/2021,HAS,11C,608,A,G,G,13.5,TP,2,2,1,1,W,,4/12/2022,KH
Y,5,10/27/2021,"AJH, NCD",11A,592,A,G,G,6.6,BB,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,580,A,G,YG,8.4,BB,2,2,1,1,W,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,605,D,B,BG,3.6,TP,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,594,D,B,B,2,BB,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,593,A,G,G,6.2,CC,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,615,A,G,G,5.9,CC,1,1,1,1,H,broke dead leaf,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,603,D,B,B,4.1,BB,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,599,A,G,G,4.1,CC,1,1,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,578,A,G,G,4.5,TP,1,1,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,604,D,B,B,6,BB,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,588,A,G,G,9.8,TP,4,4,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,582,A,G,BG,7.3,CC,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,566,D,B,B,6.3,TP,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,591,D,B,B,4.1,TP,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,600,A,G,G,6,BB,4,4,2,2,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,609,A,G,G,5,BB,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,586,A,G,G,7,BB,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,619,A,G,G,8.4,BB,4,4,2,2,NA,one leaf browning,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,621,A,G,G,8,CC,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,590,A,G,G,5.3,CC,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,584,D,B,G,4,TP,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,613,A,G,G,4.1,CC,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,601,A,G,G,8,TP,4,4,2,2,H,2 open / 2 curled,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,598,A,G,G,7.5,TP,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,596,A,G,G,5.1,CC,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,607,A,G,G,4.5,BB,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,595,D,B,B,6.1,TP,0,0,1,1,F,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,611,A,G,G,4.2,TP,4,4,2,2,H,2 open / 2 closed,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,557,A,G,G,3.3,CC,4,4,2,2,H,2 open / 2 closed,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11A,597,A,G,G,5,CC,2,2,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,651,A,B,G,6,TP,1,1,1,1,W,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,635,A,NA,G,NA,TP,0,0,0,0,W,node broken,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,629,D,B,B,3.6,CC,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,610,A,G,G,5.6,BB,5,5,2,2,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,649,A,G,G,4.2,BB,1,1,1,1,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,623,A,G,G,6.9,TP,4,4,2,2,H,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,655,A,B,G,3.4,BB,2,2,1,1,W,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,628,D,B,B,5.4,TP,0,0,1,1,D,,4/15/2022,AJH
Y,5,10/27/2021,"AJH, NCD",11B,612,A,G,G,11,CC,4,4,NA,NA,H,,4/15/2022,AJH
